is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
756.0081787,-0.005191598553,756.0081787,-0.004804783501,756.0081787,-0.005126010627,756.0081787,-0.00259094825,756.0081787,-0.00302380207,756.0081787,-0.00275627058,756.0081787,-0.00309788133,756.0081787,-0.002250071615,
755.4436646,-0.005779400468,755.4436646,-0.005064557772,755.4436646,-0.005029554944,755.4436646,-0.003275086172,755.4436646,-0.002884296933,755.4436646,-0.003306582803,755.4436646,-0.003628303297,755.4436646,-0.002656817203,
755.0202026,-0.005525370128,755.0202026,-0.005339621101,755.0202026,-0.005277993623,755.0202026,-0.003022670979,755.0202026,-0.003341570729,755.0202026,-0.003279453609,755.0202026,-0.003908279352,755.0202026,-0.002429836197,
754.4554443,-0.005682170391,754.4554443,-0.005688915029,754.4554443,-0.005454311147,754.4554443,-0.003659004113,754.4554443,-0.003534441348,754.4554443,-0.003363712691,754.4554443,-0.003851785325,754.4554443,-0.002750868909,
754.0317993,-0.00574200321,754.0317993,-0.005266229622,754.0317993,-0.005432991311,754.0317993,-0.003348506289,754.0317993,-0.003750888631,754.0317993,-0.003482213011,754.0317993,-0.0040415572,754.0317993,-0.002581890672,
753.4669189,-0.006183723453,753.4669189,-0.00558338454,753.4669189,-0.005330006592,753.4669189,-0.003360168077,753.4669189,-0.003359859809,753.4669189,-0.003472608747,753.4669189,-0.004143001977,753.4669189,-0.002828544006,
753.0430908,-0.005790333264,753.0430908,-0.006039358675,753.0430908,-0.005472000223,753.0430908,-0.003520576051,753.0430908,-0.003541373881,753.0430908,-0.003475536359,753.0430908,-0.004026066978,753.0430908,-0.002902605338,
752.4779663,-0.006414005999,752.4779663,-0.005534673575,752.4779663,-0.005562275648,752.4779663,-0.003815812292,752.4779663,-0.003910434432,752.4779663,-0.003405887401,752.4779663,-0.004312450532,752.4779663,-0.003032953478,
752.0540161,-0.006254408043,752.0540161,-0.005764022935,752.0540161,-0.005891318899,752.0540161,-0.003896683455,752.0540161,-0.003455351572,752.0540161,-0.003448931267,752.0540161,-0.004255342763,752.0540161,-0.003102816176,
751.4887085,-0.006306355353,751.4887085,-0.005743484478,751.4887085,-0.005701945163,751.4887085,-0.003662135685,751.4887085,-0.003836031538,751.4887085,-0.003843113082,751.4887085,-0.004576771054,751.4887085,-0.003080043942,
751.0646362,-0.006329265423,751.0646362,-0.006346357521,751.0646362,-0.005908837076,751.0646362,-0.004140745383,751.0646362,-0.004224940203,751.0646362,-0.00374216307,751.0646362,-0.004458056763,751.0646362,-0.003171382938,
750.4990845,-0.006337020546,750.4990845,-0.005949999671,750.4990845,-0.006234556437,750.4990845,-0.004367500544,750.4990845,-0.003694887739,750.4990845,-0.004316551145,750.4990845,-0.004228682723,750.4990845,-0.003498185193,
749.9334106,-0.006641821004,749.9334106,-0.00602123281,749.9334106,-0.005831251387,749.9334106,-0.004192792345,749.9334106,-0.004015038256,749.9334106,-0.004320857115,749.9334106,-0.004688743968,749.9334106,-0.003602118464,
749.5090942,-0.00634416379,749.5090942,-0.006366459187,749.5090942,-0.006198780145,749.5090942,-0.004210532643,749.5090942,-0.004392614122,749.5090942,-0.004033555742,749.5090942,-0.004508835729,749.5090942,-0.003503063926,
748.9432373,-0.006998374127,748.9432373,-0.006209191866,748.9432373,-0.006867325399,748.9432373,-0.004399071913,748.9432373,-0.004168590065,748.9432373,-0.004484651145,748.9432373,-0.004903132096,748.9432373,-0.00373795419,
748.5187378,-0.006632847246,748.5187378,-0.006374367047,748.5187378,-0.006605976261,748.5187378,-0.004713326693,748.5187378,-0.004262981471,748.5187378,-0.004311271477,748.5187378,-0.005071977619,748.5187378,-0.003734104568,
747.9526978,-0.007086091209,747.9526978,-0.006521272939,747.9526978,-0.006798983086,747.9526978,-0.004925962538,747.9526978,-0.004610324744,747.9526978,-0.00466528628,747.9526978,-0.005072540604,747.9526978,-0.003405630589,
747.5280762,-0.007059299387,747.5280762,-0.006767687853,747.5280762,-0.006707027555,747.5280762,-0.004353456665,747.5280762,-0.004724490922,747.5280762,-0.004629995208,747.5280762,-0.005300599616,747.5280762,-0.003810988273,
746.961792,-0.007240190636,746.961792,-0.006774110254,746.961792,-0.006931427866,746.961792,-0.0046247188,746.961792,-0.0048556244,746.961792,-0.004969470203,746.961792,-0.005207507871,746.961792,-0.003966510296,
746.5369873,-0.00712469779,746.5369873,-0.006526832003,746.5369873,-0.00688026892,746.5369873,-0.004905077629,746.5369873,-0.004773241933,746.5369873,-0.004894020036,746.5369873,-0.005357826129,746.5369873,-0.004225401673,
745.97052,-0.00751672918,745.97052,-0.006826097146,745.97052,-0.007184790447,745.97052,-0.005128670949,745.97052,-0.004470918793,745.97052,-0.004793314263,745.97052,-0.005070647225,745.97052,-0.004463591147,
745.5455933,-0.007219263352,745.5455933,-0.006985281128,745.5455933,-0.007241463289,745.5455933,-0.005424554925,745.5455933,-0.005297122058,745.5455933,-0.005011131056,745.5455933,-0.005701996386,745.5455933,-0.004439301323,
